htitem_id,Author,Title,Year (json)
KochM.GudsVackraVarldII,Koch Martin,Guds vackra värld,1916
mdp.39015030011152,Lagerkvist Pär,Ångest,1916
umn.31951d01286345t,Siwertz Sigfrid,Eldens återsken,1916
wu.89103316121,Wägner Elin,Släkten Jerneploogs framgång,1916
umn.31951d012629095,Andersson Dan,Svarta ballader,1917
umn.31951001136454b,Berger Henning,Noveller i pastell,1917
umn.31951001053704o,Bergman Bo,Elden,1917
uc1.$b480143,Bergman Hjalmar,Ett Experiment,1917
umn.31951001127758s,Bergman Hjalmar,Mor i Sutre,1917
njp.32101065642215,Elgström Anna Lenah,Mödrar,1917
FitinghoffL.Brittsommar,Fitinghoff Laura,Brittsommar,1917
wu.89103202347,Nordström Ludvig,Resan till Cythere,1917
njp.32101064730557,Wahlenberg Anna,En spion,1917
AnderssonD.DeTreHemlosa,Andersson Dan,De tre hemlösa,1918
njp.32101066110337,Berger Henning,Järntrappan,1918
njp.32101066110345,Berger Henning,Järntrappan,1918
njp.32101066110311,Bergman Hjalmar,En döds memoarer,1918
njp.32101066110329,Bergman Hjalmar,En döds memoarer,1918
wu.89104945134,Karlfeldt Erik Axel,Flora och Bellona,1918
mdp.39015030011202,Lagerlöf Selma,Bannlyst,1918
njp.32101064729757,Wägner Elin,Åsa-Hanna,1918
AnderssonD.DavidRammsArv,Andersson Dan,David Ramms arv,1919
BergerH.Spoksekretaren,Berger Henning,Spöksekretären och andra noveller,1919
mdp.39015030002813,Berger Henning,De fördömda,1919
umn.319510009948064,Bergman Hjalmar,Markurells i Wadköping,1919
uc1.$b305546,Didring Ernst,Spelarna,1919
mdp.39015030013075,Hedenvind-Eriksson Gustav,En dröm i seklets natt,1919
SandelM.Hexdansen,Sandel Maria,Hexdansen,1919
uc1.$b472236,Siwertz Sigfrid,Vindros,1919
AnderssonD.Chi-mo-ka-ma,Andersson Dan,Chi-mo-ka-ma,1920
uc1.$b136656,Berger Henning,Hjärtat på väggen,1920
umn.319510010831854,Bergman Hjalmar,Herr von Hancken,1920
wu.89090941113,Siwertz Sigfrid,Dikter,1920
,,,
wu.89009435694,Almqvist C.J.L., Smaragdbruden,1845
uc1.$b305449,Bjursten Herman, Egoismen,1852
uc1.$b305450,Bjursten Herman, Gyltas grotta,1853
uc1.$b70896,Bjursten Herman, Ödets lek,1850
umn.31951001206514u,Bjursten Herman, Öfverste Stobée,1854
uc1.$b482698,Dahlgren Carl Fredric,Samlade skrifter (vol. 1),1821
uc1.$b482699,Dahlgren Carl Fredric,Samlade skrifter (vol. 2),1822
uc1.$b482700,Dahlgren Carl Fredric,Samlade skrifter (vol. 3),1823
uc1.$b483320,Ling Pehr Henrik, Samlade arbeten (vol. 1:1),1815
uc1.$b483321,Ling Pehr Henrik, Samlade arbeten (vol. 1:2),1816
uc1.$b483322,Ling Pehr Henrik, Samlade arbeten (vol. 2),1819
