htid,author,title,year
nyp.33433034410252,"Corelli, Marie,",Thelma: a Norwegian princess,1887
nyp.33433044173783,"Drower, E.S", The Long Engagement,1912
nyp.33433045280553,John Cleland,"Fanny Hill, or Memoirs of a Woman of Pleasure",1748
nyp.33433067345763,"Eliot, George,",Daniel Deronda,1876
nyp.33433074830328,"Cowper, William,",The task,1785
nyp.33433074837836,"Burns, Robert,","Poems, chiefly in the Scottish dialect",1786
nyp.33433074852447,"Pope, Alexander,",The rape of the lock,1712
nyp.33433074855069,"Gallichan, Walter Matthew", Like Stars That Fall,1895
nyp.33433074856299,"Gissing, George,",In the year of jubilee,1894
nyp.33433074856646,"Gilbert, William", Them Boots,1877
nyp.33433074856737,"Gissing, George,",Eve's ransom,1895
nyp.33433074856869,"Gaskell, Elizabeth Cleghorn,",Ruth,1853
nyp.33433074862511,"Goldring, Douglas", The Permanent Uncle,1912
nyp.33433074863766,James Joyce,Portrait of the Artist as a Young Man,1915
nyp.33433074864111,Kenneth Graham,Wind in the Willows,1908
nyp.33433074864178,Mary Hays,Memoirs of Emma Courtney,1796
nyp.33433074864178,"Hays, Mary", Memoirs of Emma Courtney,1802
nyp.33433074864764,"Gissing, George,",The nether world,1889
nyp.33433074866314,Rudyard Kipling,Captain Courageous,1897
nyp.33433074870100,"Hood, Tom,",From nowhere to the North Pole,1875
nyp.33433074871447,"Keary, Charles Francis", Herbert Vanlennart,1895
nyp.33433074872866,DH Lawrence,The Rainbow,1915
nyp.33433074872932,DH Lawrence,"England, My England and Other Stories",1915
nyp.33433074874300,"Lewis, M. G.",The monk,1796
nyp.33433074875612,"McFee, William", Captain Macedoine's daughter,1920
nyp.33433074875752,"MacDonald, George,",Phantastes,1858
nyp.33433074876164,"Machen, Arthur,",The three impostors;,1895
nyp.33433074877097,"Kingsley, Charles,",Yeast;,1848
nyp.33433074877659,"Leverson, Ada Esther", The Twelfth Hour,1907
nyp.33433074878467,"Lee, Charles James", Paul Carah Cornishman,1899
nyp.33433074907571,"Keir, Susanna (""by the author of Interesting Memoirs"")", The History of Miss Greville,1787
nyp.33433074910880,"Mundy, Talbot", Rung Ho!,1914
nyp.33433074911276,"Sterne, Laurence,",A sentimental journey through France and Italy,1768
