Filename,HTID,Author,Title,Year,Region,Rights,OCLC
nc01_ark+=13960=t52f7r51r.json,nc01.ark:/13960/t52f7r51r,Baily Waldron,Heart Of The Blue Ridge,1915,south,1,5721476
nc01_ark+=13960=t5m919t6m.json,nc01.ark:/13960/t5m919t6m,Stuart Ruth Mcenery,In Simpkinsville; Character Tales,1897,south,1,1425818
nc01_ark+=13960=t6058k331.json,nc01.ark:/13960/t6058k331,Alger Horatio,Ragged Dick Or Street Life In New York With The Boot-Blacks,1868,newengland,1,8716828
nc01_ark+=13960=t8md02q6v.json,nc01.ark:/13960/t8md02q6v,Stratton-Porter Gene,A Girl Of The Limberlost,1909,midwest,1,3947472
njp_32101013092984.json,njp.32101013092984,Wharton Edith,The Reef: A Novel,1912,northeast,1,7025306
njp_32101017961010.json,njp.32101017961010,Cooper James Fenimore,The Red Rover: A Tale,1829,northeast,1,7129250
njp_32101037603931.json,njp.32101037603931,Dale Alan,A Marriage Below Zero: A Novel,1889,northeast,1,8936279
njp_32101042738177.json,njp.32101042738177,Harris Corra,A Circuit Rider'S Wife,1910,south,1,1814894
njp_32101062530017.json,njp.32101062530017,Underwood Francis Henry,Cloud-Pictures. 1. The Exile Of Von Adelstein'S Soul. 2. Topankalon. 3. Herr Regenbogen'S Concert. 4. A Great-Organ Prelude,1872,newengland,1,1621257
njp_32101064071259.json,njp.32101064071259,Rowson,Charlotte Temple A Tale Of Truth,1824,newengland,1,10340009
njp_32101064071267.json,njp.32101064071267,Rowson Mrs. Susanna Haswell,Lucy Temple: One Of The Three Orphans.  A Sequel To Charlotte Temple,1854,newengland,1,631220
njp_32101066123066.json,njp.32101066123066,Hawes Charles Boardman,The Great Quest; A Romance Of 1826 Wherein Are Recorded The Experiences Of Josiah Woods Of Topham And Of Those Others With Whom He Sailed For Cuba And The Gulf Of Guinea,1921,newengland,1,977342
njp_32101066385319.json,njp.32101066385319,Tarkington Booth,Penrod,1914,midwest,1,42635499
njp_32101068150208.json,njp.32101068150208,Twain Mark,A Double Barrelled Detective Story,1902,midwest,1,777071404
njp_32101068175114.json,njp.32101068175114,Butt Martha Haines,Anti Fanaticism: A Tale Of The South,1853,south,1,2038091
njp_32101068596566.json,njp.32101068596566,Cooper James Fenimore,The Oak Openings; Or The Bee-Hunter ...,1848,northeast,1,43325104
njp_32101076477320.json,njp.32101076477320,Warner Susan,The Wide Wide World,1851,northeast,1,42635564
nyp_33433071394625.json,nyp.33433071394625,Page Thomas Nelson,In Ole Virginia; Or Marse Chan And Other Stories,1887,south,1,3190619
nyp_33433074800867.json,nyp.33433074800867,Bangs John Kendrick,The Pursuit Of The House-Boat; Being Some Further Account Of The Divers Doings Of The Associated Shades Under The Leadership Of Sherlock Holmes Esq.;,1897,northeast,1,832823
nyp_33433074811088.json,nyp.33433074811088,Cary Alice,Clovernook; Or Recollections Of Our Neighborhood In The West,1852,midwest,1,4682422
nyp_33433074812219.json,nyp.33433074812219,Churchill Winston,Mr. Crewe'S Career,1908,newengland,9,3896404
nyp_33433074826284.json,nyp.33433074826284,Mitchell Donald Grant,Reveries Of A Bachelor; Or A Book Of The Heart,1850,newengland,1,11904678
nyp_33433074842422.json,nyp.33433074842422,Twain Mark,A Horse'S Tale,1906,midwest,1,272628
nyp_33433074851886.json,nyp.33433074851886,Dreiser Theodore,The Titan,1914,midwest,9,
nyp_33433074942743.json,nyp.33433074942743,Cooper James Fenimore,Mercedes Of Castile: Or The Voyage To Cathay,1840,northeast,1,1544718
nyp_33433074944343.json,nyp.33433074944343,Cowdin V. G.,Ellen; Or The Fanatic'S Daughter,1860,south,1,10471955
nyp_33433074972435.json,nyp.33433074972435,Lewis Sinclair,Babbitt,1922,midwest,1,11111004
nyp_33433075912992.json,nyp.33433075912992,Smith W. L. G.,"Life At The South: Or ""Uncle Tom'S Cabin"" As It Is. Being Narratives Scenes And Incidents In The Real ""Life Of The Lowly.""",1852,south,1,
nyp_33433076022593.json,nyp.33433076022593,Baum L. Frank,Daughters Of Destiny,1906,northeast,1,6578517
nyp_33433076023476.json,nyp.33433076023476,Hooper Johnson Jones,"Adventures Of Captain Simon Suggs: Late Of The Tallapoosa Volunteers: Together With ""Taking The Census"" And Other Alabama Sketches",1846,south,1,3793450
nyp_33433076025463.json,nyp.33433076025463,Mcknight Charles,Old Fort Duquesne: Or Captain Jack The Scout. An Historical Novel With Copious Notes,1873,northeast,1,1335923
nyp_33433076040009.json,nyp.33433076040009,Simms William Gilmore,The Yemassee. A Romance Of Carolina,1835,south,1,12354503
